Month,Month old,Worldwide
2004-01-01,2004-01,5
2004-02-01,2004-02,0
2004-03-01,2004-03,0
2004-04-01,2004-04,0
2004-05-01,2004-05,0
2004-06-01,2004-06,13
2004-07-01,2004-07,0
2004-08-01,2004-08,0
2004-09-01,2004-09,4
2004-10-01,2004-10,4
2004-11-01,2004-11,8
2004-12-01,2004-12,0
2005-01-01,2005-01,0
2005-02-01,2005-02,3
2005-03-01,2005-03,3
2005-04-01,2005-04,3
2005-05-01,2005-05,0
2005-06-01,2005-06,3
2005-07-01,2005-07,0
2005-08-01,2005-08,3
2005-09-01,2005-09,3
2005-10-01,2005-10,2
2005-11-01,2005-11,2
2005-12-01,2005-12,0
2006-01-01,2006-01,2
2006-02-01,2006-02,0
2006-03-01,2006-03,2
2006-04-01,2006-04,0
2006-05-01,2006-05,5
2006-06-01,2006-06,6
2006-07-01,2006-07,2
2006-08-01,2006-08,2
2006-09-01,2006-09,2
2006-10-01,2006-10,2
2006-11-01,2006-11,1
2006-12-01,2006-12,2
2007-01-01,2007-01,3
2007-02-01,2007-02,1
2007-03-01,2007-03,1
2007-04-01,2007-04,1
2007-05-01,2007-05,3
2007-06-01,2007-06,2
2007-07-01,2007-07,2
2007-08-01,2007-08,1
2007-09-01,2007-09,1
2007-10-01,2007-10,2
2007-11-01,2007-11,2
2007-12-01,2007-12,3
2008-01-01,2008-01,1
2008-02-01,2008-02,2
2008-03-01,2008-03,3
2008-04-01,2008-04,2
2008-05-01,2008-05,1
2008-06-01,2008-06,1
2008-07-01,2008-07,1
2008-08-01,2008-08,2
2008-09-01,2008-09,1
2008-10-01,2008-10,1
2008-11-01,2008-11,1
2008-12-01,2008-12,1
2009-01-01,2009-01,2
2009-02-01,2009-02,1
2009-03-01,2009-03,1
2009-04-01,2009-04,1
2009-05-01,2009-05,1
2009-06-01,2009-06,2
2009-07-01,2009-07,1
2009-08-01,2009-08,1
2009-09-01,2009-09,1
2009-10-01,2009-10,1
2009-11-01,2009-11,2
2009-12-01,2009-12,2
2010-01-01,2010-01,1
2010-02-01,2010-02,1
2010-03-01,2010-03,1
2010-04-01,2010-04,1
2010-05-01,2010-05,<1
2010-06-01,2010-06,1
2010-07-01,2010-07,1
2010-08-01,2010-08,1
2010-09-01,2010-09,1
2010-10-01,2010-10,1
2010-11-01,2010-11,1
2010-12-01,2010-12,1
2011-01-01,2011-01,1
2011-02-01,2011-02,1
2011-03-01,2011-03,1
2011-04-01,2011-04,2
2011-05-01,2011-05,2
2011-06-01,2011-06,1
2011-07-01,2011-07,1
2011-08-01,2011-08,2
2011-09-01,2011-09,2
2011-10-01,2011-10,1
2011-11-01,2011-11,1
2011-12-01,2011-12,2
2012-01-01,2012-01,2
2012-02-01,2012-02,3
2012-03-01,2012-03,3
2012-04-01,2012-04,3
2012-05-01,2012-05,3
2012-06-01,2012-06,2
2012-07-01,2012-07,2
2012-08-01,2012-08,2
2012-09-01,2012-09,4
2012-10-01,2012-10,3
2012-11-01,2012-11,5
2012-12-01,2012-12,6
2013-01-01,2013-01,7
2013-02-01,2013-02,19
2013-03-01,2013-03,27
2013-04-01,2013-04,21
2013-05-01,2013-05,14
2013-06-01,2013-06,18
2013-07-01,2013-07,16
2013-08-01,2013-08,17
2013-09-01,2013-09,13
2013-10-01,2013-10,16
2013-11-01,2013-11,19
2013-12-01,2013-12,17
2014-01-01,2014-01,17
2014-02-01,2014-02,17
2014-03-01,2014-03,21
2014-04-01,2014-04,21
2014-05-01,2014-05,30
2014-06-01,2014-06,27
2014-07-01,2014-07,29
2014-08-01,2014-08,26
2014-09-01,2014-09,44
2014-10-01,2014-10,58
2014-11-01,2014-11,43
2014-12-01,2014-12,40
2015-01-01,2015-01,46
2015-02-01,2015-02,53
2015-03-01,2015-03,61
2015-04-01,2015-04,60
2015-05-01,2015-05,65
2015-06-01,2015-06,61
2015-07-01,2015-07,65
2015-08-01,2015-08,62
2015-09-01,2015-09,76
2015-10-01,2015-10,80
2015-11-01,2015-11,89
2015-12-01,2015-12,76
2016-01-01,2016-01,84
2016-02-01,2016-02,96
2016-03-01,2016-03,97
2016-04-01,2016-04,100
2016-05-01,2016-05,96
2016-06-01,2016-06,89
2016-07-01,2016-07,57
2016-08-01,2016-08,60
2016-09-01,2016-09,75
2016-10-01,2016-10,94
2016-11-01,2016-11,98
2016-12-01,2016-12,75
2017-01-01,2017-01,79
2017-02-01,2017-02,93
2017-03-01,2017-03,97
2017-04-01,2017-04,93
2017-05-01,2017-05,86
2017-06-01,2017-06,78
2017-07-01,2017-07,67
2017-08-01,2017-08,66
2017-09-01,2017-09,84
2017-10-01,2017-10,91
2017-11-01,2017-11,95
2017-12-01,2017-12,76
2018-01-01,2018-01,74
2018-02-01,2018-02,75
2018-03-01,2018-03,83
2018-04-01,2018-04,79
2018-05-01,2018-05,76
2018-06-01,2018-06,68
2018-07-01,2018-07,61
2018-08-01,2018-08,56
2018-09-01,2018-09,65
2018-10-01,2018-10,73
2018-11-01,2018-11,77
2018-12-01,2018-12,56
2019-01-01,2019-01,57
2019-02-01,2019-02,56